Target Distance: 100 , Step Size: 20 
539: (x, y) = ( 4.16174, -9.09285 )
540: (x, y) = ( -2.23741, -9.74649 )
541: (x, y) = ( -7.7108, 6.36738 )
542: (x, y) = ( 2.83662, -9.58924 )
543: (x, y) = ( -7.87696, -6.16064 )
544: (x, y) = ( -5.77002, 8.16743 )
545: (x, y) = ( 6.53666, -7.56783 )
546: (x, y) = ( -2.49569, 9.68357 )
547: (x, y) = ( -6.60294, -7.51007 )
548: (x, y) = ( 3.7551, 9.26819 )
549: (x, y) = ( -9.81106, -1.93473 )
550: (x, y) = ( -5.84184, -8.11621 )
551: (x, y) = ( 6.46919, 7.62558 )
552: (x, y) = ( -3.59072, 9.3331 )
553: (x, y) = ( -3.2581, 9.45435 )
554: (x, y) = ( -0.751361, -9.97173 )
555: (x, y) = ( -7.24097, -6.89698 )
556: (x, y) = ( -8.57803, 5.13978 )
557: (x, y) = ( -7.05551, 7.08659 )
558: (x, y) = ( -8.14198, 5.80587 )
559: (x, y) = ( 0.575025, -9.98345 )
560: (x, y) = ( 3.50797, -9.36451 )
561: (x, y) = ( 6.66916, 7.45133 )
562: (x, y) = ( 9.81111, -1.93444 )
563: (x, y) = ( -4.16147, 9.09297 )
564: (x, y) = ( -9.69452, -2.45281 )
565: (x, y) = ( -9.99647, -0.265512 )
566: (x, y) = ( -7.76667, -6.29911 )
567: (x, y) = ( 4.16119, 9.0931 )
568: (x, y) = ( 4.55969, -8.89996 )
569: (x, y) = ( 9.18271, 3.95953 )
570: (x, y) = ( -4.94898, 8.68951 )
571: (x, y) = ( -3.174, -9.48292 )
572: (x, y) = ( 0.486335, 9.98817 )
573: (x, y) = ( -2.32388, 9.72623 )
574: (x, y) = ( -6.53644, -7.56802 )
575: (x, y) = ( 1.97784, 9.80246 )
576: (x, y) = ( -9.94367, 1.05988 )
577: (x, y) = ( 8.57788, 5.14004 )
578: (x, y) = ( 3.91857, 9.20026 )
579: (x, y) = ( -3.09023, 9.51055 )
580: (x, y) = ( 0.309449, 9.99521 )
581: (x, y) = ( 5.17796, -8.55504 )
582: (x, y) = ( -9.25148, 3.79608 )
583: (x, y) = ( 4.16119, 9.0931 )
584: (x, y) = ( 1.10417, -9.93885 )
585: (x, y) = ( 3.34165, -9.42514 )
586: (x, y) = ( -5.02544, -8.64551 )
587: (x, y) = ( 3.67319, -9.30095 )
588: (x, y) = ( 4.32151, 9.01801 )
589: (x, y) = ( 9.11118, 4.12146 )
590: (x, y) = ( -6.19544, 7.84962 )
591: (x, y) = ( -3.67291, -9.30106 )
592: (x, y) = ( 8.29327, -5.58764 )
593: (x, y) = ( 9.8278, 1.84782 )
594: (x, y) = ( 2.83662, -9.58924 )
595: (x, y) = ( 1.71717, -9.85146 )
596: (x, y) = ( 5.25322, 8.50904 )
597: (x, y) = ( -8.24348, 5.66083 )
598: (x, y) = ( -5.1777, -8.5552 )
599: (x, y) = ( 6.05528, 7.95824 )
600: (x, y) = ( 9.69459, -2.45252 )
601: (x, y) = ( 2.06482, -9.7845 )
602: (x, y) = ( -9.85902, 1.67326 )
603: (x, y) = ( 4.87188, -8.73297 )
604: (x, y) = ( -3.174, -9.48292 )
605: (x, y) = ( -0.751361, -9.97173 )
606: (x, y) = ( 0.221268, -9.99755 )
607: (x, y) = ( 4.16119, 9.0931 )
608: (x, y) = ( -9.55083, 2.9634 )
609: (x, y) = ( 9.28471, -3.71404 )
610: (x, y) = ( 7.71061, 6.36761 )
611: (x, y) = ( -9.2846, -3.71432 )
612: (x, y) = ( -9.2174, -3.87809 )
613: (x, y) = ( -5.10203, 8.60054 )
614: (x, y) = ( 8.92005, 4.52026 )
615: (x, y) = ( 9.75623, 2.19455 )
616: (x, y) = ( 5.55113, -8.31775 )
617: (x, y) = ( -0.574724, -9.98347 )
618: (x, y) = ( -6.73485, -7.39201 )
619: (x, y) = ( 4.16119, 9.0931 )
620: (x, y) = ( 6.33319, 7.73891 )
621: (x, y) = ( -3.50769, -9.36462 )
622: (x, y) = ( -10, -0.000301444 )
623: (x, y) = ( -4.55942, -8.90009 )
624: (x, y) = ( -1.71688, -9.85151 )
625: (x, y) = ( 8.87983, -4.59877 )
626: (x, y) = ( -9.55083, 2.9634 )
627: (x, y) = ( 9.62598, 2.70935 )
628: (x, y) = ( 4.24179, -9.05578 )
629: (x, y) = ( 8.19306, -5.73357 )
630: (x, y) = ( 4.16174, -9.09285 )
631: (x, y) = ( -2.83633, -9.58933 )
632: (x, y) = ( -7.7108, 6.36738 )
633: (x, y) = ( -7.11775, -7.02408 )
634: (x, y) = ( 0.663069, 9.97799 )
635: (x, y) = ( 8.48554, 5.29108 )
636: (x, y) = ( 9.98083, -0.618903 )
637: (x, y) = ( 9.99022, -0.442126 )
638: (x, y) = ( -7.98478, -6.02024 )
639: (x, y) = ( -3.42495, 9.3952 )
640: (x, y) = ( -9.2846, -3.71432 )
641: (x, y) = ( -8.66767, 4.98713 )
642: (x, y) = ( -9.99374, 0.353682 )
643: (x, y) = ( 4.71652, -8.81785 )
644: (x, y) = ( -9.62606, 2.70906 )
645: (x, y) = ( -1.455, 9.89358 )
646: (x, y) = ( -5.84184, -8.11621 )
647: (x, y) = ( -7.42174, 6.70207 )
648: (x, y) = ( 4.63802, 8.85939 )
649: (x, y) = ( -7.48058, -6.63634 )
650: (x, y) = ( 7.98496, -6.02 )
651: (x, y) = ( 9.349, -3.5491 )
652: (x, y) = ( -3.59072, 9.3331 )
653: (x, y) = ( 8.03775, 5.94933 )
654: (x, y) = ( -9.92335, 1.23573 )
655: (x, y) = ( -5.40277, -8.41487 )
656: (x, y) = ( 3.83726, -9.23447 )
657: (x, y) = ( -6.53644, -7.56802 )
658: (x, y) = ( -8.3424, 5.51402 )
659: (x, y) = ( -6.73485, -7.39201 )
660: (x, y) = ( -9.69452, -2.45281 )
661: (x, y) = ( -9.3489, -3.54938 )
662: (x, y) = ( 9.67243, 2.53853 )
663: (x, y) = ( 9.03705, -4.28155 )
664: (x, y) = ( 3.67319, -9.30095 )
665: (x, y) = ( 9.95267, -0.971819 )
666: (x, y) = ( -5.9137, 8.06401 )
667: (x, y) = ( -5.1777, -8.5552 )
668: (x, y) = ( -7.87696, -6.16064 )
669: (x, y) = ( 9.57668, -2.87874 )
670: (x, y) = ( 9.81111, -1.93444 )
671: (x, y) = ( 2.75192, -9.61389 )
672: (x, y) = ( 5.47704, 8.36672 )
673: (x, y) = ( 4.94872, 8.68966 )
674: (x, y) = ( 7.53902, 6.56987 )
675: (x, y) = ( -4.16147, 9.09297 )
676: (x, y) = ( 9.07447, 4.20167 )
677: (x, y) = ( -7.82231, 6.22989 )
678: (x, y) = ( -3.00564, -9.53762 )
679: (x, y) = ( 0.486335, 9.98817 )
680: (x, y) = ( 9.9859, 0.530836 )
681: (x, y) = ( -3.2581, 9.45435 )
682: (x, y) = ( 9.84382, -1.76046 )
683: (x, y) = ( -4.0811, 9.12933 )
684: (x, y) = ( 3.59044, 9.33321 )
685: (x, y) = ( -9.55083, 2.9634 )
686: (x, y) = ( -4.24152, -9.05591 )
687: (x, y) = ( -2.58102, -9.66118 )
688: (x, y) = ( 8.48554, 5.29108 )
689: (x, y) = ( -8.79689, -4.7555 )
690: (x, y) = ( -5.40328, 8.41455 )
691: (x, y) = ( -9.98592, 0.530535 )
692: (x, y) = ( 0.928062, -9.95684 )
693: (x, y) = ( -2.23741, -9.74649 )
694: (x, y) = ( 0.221268, -9.99755 )
695: (x, y) = ( -6.46942, 7.62539 )
696: (x, y) = ( -3.174, -9.48292 )
697: (x, y) = ( 7.76686, -6.29888 )
698: (x, y) = ( -1.27964, -9.91779 )
699: (x, y) = ( -6.53644, -7.56802 )
700: (x, y) = ( -9.52413, -3.04811 )
701: (x, y) = ( -4.63829, 8.85925 )
702: (x, y) = ( -9.07459, 4.2014 )
703: (x, y) = ( -8.4857, 5.29083 )
704: (x, y) = ( 7.17964, 6.9608 )
705: (x, y) = ( -9.60162, -2.79444 )
706: (x, y) = ( 3.83726, -9.23447 )
707: (x, y) = ( 3.59044, 9.33321 )
708: (x, y) = ( -6.26444, -7.79466 )
709: (x, y) = ( 5.6975, -8.21818 )
710: (x, y) = ( 1.80401, 9.83593 )
711: (x, y) = ( -5.84184, -8.11621 )
712: (x, y) = ( -3.59072, 9.3331 )
713: (x, y) = ( 7.98496, -6.02 )
714: (x, y) = ( -3.09023, 9.51055 )
715: (x, y) = ( 6.92874, 7.21059 )
716: (x, y) = ( 9.43984, 3.29991 )
717: (x, y) = ( 1.10417, -9.93885 )
718: (x, y) = ( 5.17796, -8.55504 )
719: (x, y) = ( 1.27994, -9.91775 )
720: (x, y) = ( 9.87344, -1.58593 )
721: (x, y) = ( -9.98081, -0.619203 )
722: (x, y) = ( -8.2931, -5.58789 )
723: (x, y) = ( 8.99867, 4.36165 )
724: (x, y) = ( 1.62961, 9.86633 )
725: (x, y) = ( -9.07459, 4.2014 )
726: (x, y) = ( 6.46919, 7.62558 )
727: (x, y) = ( -0.30975, 9.9952 )
728: (x, y) = ( 9.85897, 1.67356 )
729: (x, y) = ( 6.73507, -7.39181 )
730: (x, y) = ( 7.76686, -6.29888 )
731: (x, y) = ( -10, -0.000301444 )
732: (x, y) = ( 4.40143, -8.97928 )
733: (x, y) = ( 9.85897, 1.67356 )
734: (x, y) = ( -3.174, -9.48292 )
735: (x, y) = ( 9.41037, -3.38305 )
736: (x, y) = ( -6.33343, 7.73872 )
737: (x, y) = ( 2.15105, 9.76591 )
738: (x, y) = ( 10, 0 )
739: (x, y) = ( -2.75163, -9.61397 )
740: (x, y) = ( 9.25136, 3.79636 )
741: (x, y) = ( 5.84209, -8.11603 )
742: (x, y) = ( 6.19521, 7.8498 )
743: (x, y) = ( 9.99961, -0.0882117 )
744: (x, y) = ( -0.220966, -9.99756 )
745: (x, y) = ( 8.99867, 4.36165 )
746: (x, y) = ( 4.87188, -8.73297 )
747: (x, y) = ( -8.9988, 4.36138 )
748: (x, y) = ( 5.32859, -8.46204 )
749: (x, y) = ( 10, 0 )
750: (x, y) = ( 8.19306, -5.73357 )
751: (x, y) = ( 6.05528, 7.95824 )
752: (x, y) = ( -9.98081, -0.619203 )
753: (x, y) = ( -2.15135, 9.76584 )
754: (x, y) = ( -7.17985, 6.96058 )
755: (x, y) = ( -6.46942, 7.62539 )
756: (x, y) = ( -8.75459, 4.83292 )
757: (x, y) = ( -9.95264, -0.972119 )
758: (x, y) = ( -4.32178, 9.01788 )
759: (x, y) = ( -9.43994, 3.29962 )
760: (x, y) = ( 4.79412, 8.7759 )
761: (x, y) = ( 2.32359, 9.7263 )
762: (x, y) = ( -5.84184, -8.11621 )
763: (x, y) = ( 9.99022, -0.442126 )
764: (x, y) = ( 9.85897, 1.67356 )
765: (x, y) = ( 9.43984, 3.29991 )
766: (x, y) = ( -1.54222, -9.88036 )
767: (x, y) = ( -7.53922, 6.56964 )
768: (x, y) = ( 7.98496, -6.02 )
769: (x, y) = ( -1.54222, -9.88036 )
770: (x, y) = ( 2.83662, -9.58924 )
771: (x, y) = ( -0.220966, -9.99756 )
772: (x, y) = ( -1.8043, 9.83588 )
773: (x, y) = ( 6.53666, -7.56783 )
774: (x, y) = ( -9.49687, 3.132 )
775: (x, y) = ( -5.69726, -8.21835 )
776: (x, y) = ( -1.71688, -9.85151 )
777: (x, y) = ( 9.11118, 4.12146 )
778: (x, y) = ( 2.2377, -9.74642 )
779: (x, y) = ( -1.01616, 9.94824 )
780: (x, y) = ( 9.11118, 4.12146 )
781: (x, y) = ( -4.0811, 9.12933 )
782: (x, y) = ( 3.08994, 9.51064 )
783: (x, y) = ( 9.07447, 4.20167 )
784: (x, y) = ( -3.42495, 9.3952 )
785: (x, y) = ( 8.43854, -5.36573 )
786: (x, y) = ( -9.07459, 4.2014 )
787: (x, y) = ( -1.54222, -9.88036 )
788: (x, y) = ( 9.43984, 3.29991 )
789: (x, y) = ( -9.69452, -2.45281 )
790: (x, y) = ( -9.99647, -0.265512 )
791: (x, y) = ( 1.62961, 9.86633 )
792: (x, y) = ( -9.62606, 2.70906 )
793: (x, y) = ( 9.349, -3.5491 )
794: (x, y) = ( -2.58102, -9.66118 )
795: (x, y) = ( -9.94367, 1.05988 )
796: (x, y) = ( -7.11775, -7.02408 )
797: (x, y) = ( 6.46919, 7.62558 )
798: (x, y) = ( -8.95971, -4.44113 )
799: (x, y) = ( -4.24152, -9.05591 )
800: (x, y) = ( -9.98592, 0.530535 )
801: (x, y) = ( -9.55083, 2.9634 )
802: (x, y) = ( 6.80001, 7.33211 )
803: (x, y) = ( -8.03793, 5.94909 )
804: (x, y) = ( -5.9846, -8.01153 )
805: (x, y) = ( 8.5322, -5.21551 )
806: (x, y) = ( 0.398209, -9.99207 )
807: (x, y) = ( 8.92005, 4.52026 )
808: (x, y) = ( -3.99985, -9.16522 )
809: (x, y) = ( 4.79412, 8.7759 )
810: (x, y) = ( 6.92874, 7.21059 )
811: (x, y) = ( -9.69452, -2.45281 )
812: (x, y) = ( 4.24179, -9.05578 )
813: (x, y) = ( -5.32833, -8.4622 )
814: (x, y) = ( 0.839594, 9.96469 )
815: (x, y) = ( -2.15135, 9.76584 )
816: (x, y) = ( -9.03692, -4.28183 )
817: (x, y) = ( 10, 0 )
818: (x, y) = ( -5.47729, 8.36656 )
819: (x, y) = ( -7.11775, -7.02408 )
820: (x, y) = ( -9.69452, -2.45281 )
821: (x, y) = ( 9.99373, 0.353983 )
822: (x, y) = ( -6.60294, -7.51007 )
823: (x, y) = ( 2.06482, -9.7845 )
824: (x, y) = ( 9.46878, -3.21594 )
825: (x, y) = ( 9.55074, 2.96369 )
826: (x, y) = ( -1.01616, 9.94824 )
827: (x, y) = ( -1.62991, 9.86628 )
828: (x, y) = ( 7.71061, 6.36761 )
829: (x, y) = ( -6.99229, -7.14898 )
830: (x, y) = ( -8.62304, -5.06392 )
831: (x, y) = ( -3.42495, 9.3952 )
832: (x, y) = ( -8.4857, 5.29083 )
833: (x, y) = ( 9.55074, 2.96369 )
834: (x, y) = ( -2.83633, -9.58933 )
835: (x, y) = ( -3.83698, -9.23458 )
836: (x, y) = ( 7.30174, 6.83262 )
837: (x, y) = ( 8.48554, 5.29108 )
838: (x, y) = ( 8.79703, -4.75524 )
839: (x, y) = ( -9.1113, 4.12118 )
840: (x, y) = ( -8.39072, -5.44021 )
841: (x, y) = ( -4.40116, -8.97941 )
842: (x, y) = ( -8.0901, -5.87795 )
843: (x, y) = ( -8.4857, 5.29083 )
844: (x, y) = ( -5.25348, 8.50888 )
845: (x, y) = ( 5.17796, -8.55504 )
846: (x, y) = ( -4.48074, 8.93997 )
847: (x, y) = ( 8.39088, -5.43996 )
848: (x, y) = ( -7.11775, -7.02408 )
849: (x, y) = ( 4.55969, -8.89996 )
850: (x, y) = ( 6.60317, -7.50987 )
851: (x, y) = ( 6.73507, -7.39181 )
852: (x, y) = ( -9.67251, 2.53823 )
853: (x, y) = ( -10, -0.000301444 )
854: (x, y) = ( -5.84184, -8.11621 )
855: (x, y) = ( 9.75623, 2.19455 )
856: (x, y) = ( -0.132767, 9.99912 )
857: (x, y) = ( -2.83633, -9.58933 )
858: (x, y) = ( 9.28471, -3.71404 )
859: (x, y) = ( -6.46942, 7.62539 )
860: (x, y) = ( -5.1777, -8.5552 )
861: (x, y) = ( -7.59688, 6.50288 )
862: (x, y) = ( 10, 0 )
863: (x, y) = ( 8.92005, 4.52026 )
864: (x, y) = ( -9.18283, 3.95925 )
865: (x, y) = ( -4.94898, 8.68951 )
866: (x, y) = ( -7.7108, 6.36738 )
867: (x, y) = ( 4.08082, 9.12945 )
868: (x, y) = ( 0.221268, -9.99755 )
869: (x, y) = ( -3.75538, 9.26807 )
870: (x, y) = ( 1.54251, -9.88032 )
871: (x, y) = ( -5.62454, 8.26829 )
872: (x, y) = ( -4.32178, 9.01788 )
873: (x, y) = ( 9.99843, 0.177019 )
874: (x, y) = ( 5.32859, -8.46204 )
875: (x, y) = ( -5.40277, -8.41487 )
876: (x, y) = ( -6.99229, -7.14898 )
877: (x, y) = ( 2.58131, -9.6611 )
878: (x, y) = ( 8.09028, -5.87771 )
879: (x, y) = ( 9.6017, -2.79415 )
880: (x, y) = ( 0.309449, 9.99521 )
881: (x, y) = ( 8.87983, -4.59877 )
882: (x, y) = ( -0.220966, -9.99756 )
883: (x, y) = ( -2.83633, -9.58933 )
884: (x, y) = ( 6.92874, 7.21059 )
885: (x, y) = ( -0.663369, 9.97797 )
886: (x, y) = ( 8.99867, 4.36165 )
887: (x, y) = ( 4.94872, 8.68966 )
888: (x, y) = ( -2.92139, 9.56376 )
889: (x, y) = ( 4.79412, 8.7759 )
890: (x, y) = ( 5.47704, 8.36672 )
891: (x, y) = ( 9.69459, -2.45252 )
892: (x, y) = ( 3.91857, 9.20026 )
893: (x, y) = ( -4.0811, 9.12933 )
894: (x, y) = ( -5.1777, -8.5552 )
895: (x, y) = ( -9.60162, -2.79444 )
896: (x, y) = ( 9.9339, -1.14785 )
897: (x, y) = ( 9.43984, 3.29991 )
898: (x, y) = ( -8.39072, -5.44021 )
899: (x, y) = ( 7.87715, -6.1604 )
900: (x, y) = ( 5.76978, 8.1676 )
901: (x, y) = ( -2.49569, 9.68357 )
902: (x, y) = ( 6.73507, -7.39181 )
903: (x, y) = ( 8.03775, 5.94933 )
904: (x, y) = ( -2.66672, 9.63787 )
905: (x, y) = ( -5.10203, 8.60054 )
906: (x, y) = ( -7.11775, -7.02408 )
907: (x, y) = ( -0.132767, 9.99912 )
908: (x, y) = ( 9.98083, -0.618903 )
909: (x, y) = ( 5.76978, 8.1676 )
910: (x, y) = ( 2.66643, 9.63795 )
911: (x, y) = ( 9.28471, -3.71404 )
912: (x, y) = ( 1.89129, -9.81952 )
913: (x, y) = ( 7.59668, 6.50311 )
914: (x, y) = ( -9.07459, 4.2014 )
915: (x, y) = ( -3.34137, -9.42525 )
916: (x, y) = ( -2.75163, -9.61397 )
917: (x, y) = ( 6.80001, 7.33211 )
918: (x, y) = ( 6.53666, -7.56783 )
919: (x, y) = ( 8.95984, -4.44086 )
920: (x, y) = ( 9.99373, 0.353983 )
921: (x, y) = ( -1.54222, -9.88036 )
922: (x, y) = ( -9.95264, -0.972119 )
923: (x, y) = ( 4.24179, -9.05578 )
924: (x, y) = ( -7.05551, 7.08659 )
925: (x, y) = ( 4.32151, 9.01801 )
926: (x, y) = ( 1.36737, 9.90607 )
927: (x, y) = ( -9.95264, -0.972119 )
928: (x, y) = ( 6.40167, -7.68235 )
929: (x, y) = ( -0.397908, -9.99208 )
930: (x, y) = ( 9.71585, 2.36691 )
931: (x, y) = ( -5.62454, 8.26829 )
932: (x, y) = ( -6.66938, 7.45113 )
933: (x, y) = ( 8.29327, -5.58764 )
934: (x, y) = ( -7.87696, -6.16064 )
935: (x, y) = ( -2.32388, 9.72623 )
936: (x, y) = ( 7.93118, 6.09068 )
937: (x, y) = ( 6.26468, -7.79447 )
938: (x, y) = ( -3.174, -9.48292 )
939: (x, y) = ( -1.71688, -9.85151 )
940: (x, y) = ( -2.23741, -9.74649 )
941: (x, y) = ( 8.29327, -5.58764 )
942: (x, y) = ( -2.49569, 9.68357 )
943: (x, y) = ( -1.97814, 9.8024 )
944: (x, y) = ( -5.9137, 8.06401 )
945: (x, y) = ( -8.92018, 4.51999 )
946: (x, y) = ( 9.89997, -1.4109 )
947: (x, y) = ( -3.99985, -9.16522 )
948: (x, y) = ( -8.75459, 4.83292 )
949: (x, y) = ( 4.63802, 8.85939 )
950: (x, y) = ( -7.65395, -6.43561 )
951: (x, y) = ( 9.43984, 3.29991 )
952: (x, y) = ( 1.1918, 9.92873 )
953: (x, y) = ( 4.87188, -8.73297 )
954: (x, y) = ( -5.32833, -8.4622 )
955: (x, y) = ( -7.82231, 6.22989 )
956: (x, y) = ( -5.47729, 8.36656 )
957: (x, y) = ( 3.83726, -9.23447 )
958: (x, y) = ( 8.39088, -5.43996 )
959: (x, y) = ( 9.98083, -0.618903 )
960: (x, y) = ( 7.65414, -6.43538 )
961: (x, y) = ( -5.84184, -8.11621 )
962: (x, y) = ( -5.10203, 8.60054 )
963: (x, y) = ( -0.30975, 9.9952 )
964: (x, y) = ( 7.65414, -6.43538 )
965: (x, y) = ( -1.455, 9.89358 )
966: (x, y) = ( -9.64958, -2.62404 )
967: (x, y) = ( -7.24097, -6.89698 )
968: (x, y) = ( 6.80001, 7.33211 )
969: (x, y) = ( -8.95971, -4.44113 )
970: (x, y) = ( 9.55074, 2.96369 )
971: (x, y) = ( -6.73485, -7.39201 )
972: (x, y) = ( -1.01616, 9.94824 )
973: (x, y) = ( -9.99844, 0.176718 )
974: (x, y) = ( -7.36193, -6.76772 )
975: (x, y) = ( -4.32178, 9.01788 )
976: (x, y) = ( -0.30975, 9.9952 )
977: (x, y) = ( 1.62961, 9.86633 )
978: (x, y) = ( 8.48554, 5.29108 )
979: (x, y) = ( -3.2581, 9.45435 )
980: (x, y) = ( -1.27964, -9.91779 )
981: (x, y) = ( -8.24348, 5.66083 )
982: (x, y) = ( 6.19521, 7.8498 )
983: (x, y) = ( 9.69459, -2.45252 )
984: (x, y) = ( 9.89988, 1.4115 )
985: (x, y) = ( 3.34165, -9.42514 )
986: (x, y) = ( 9.9339, -1.14785 )
987: (x, y) = ( 9.99022, -0.442126 )
988: (x, y) = ( 0.309449, 9.99521 )
989: (x, y) = ( -8.2931, -5.58789 )
990: (x, y) = ( -3.83698, -9.23458 )
991: (x, y) = ( 6.66916, 7.45133 )
992: (x, y) = ( 6.99251, -7.14876 )
993: (x, y) = ( 4.16119, 9.0931 )
994: (x, y) = ( 8.34223, 5.51427 )
995: (x, y) = ( -9.52413, -3.04811 )
996: (x, y) = ( 5.40302, 8.41471 )
997: (x, y) = ( -0.839895, 9.96467 )
998: (x, y) = ( 4.79412, 8.7759 )
999: (x, y) = ( 8.83863, 4.67745 )
1000: (x, y) = ( 9.99648, -0.26521 )
1001: (x, y) = ( 9.99373, 0.353983 )
1002: (x, y) = ( -8.57803, 5.13978 )
1003: (x, y) = ( -8.2931, -5.58789 )
1004: (x, y) = ( 6.80001, 7.33211 )
1005: (x, y) = ( 9.79355, 2.0215 )
1006: (x, y) = ( 5.32859, -8.46204 )
1007: (x, y) = ( -7.53922, 6.56964 )
1008: (x, y) = ( 7.48078, -6.63611 )
1009: (x, y) = ( -6.73485, -7.39201 )
1010: (x, y) = ( -9.46868, -3.21622 )
1011: (x, y) = ( -4.16147, 9.09297 )
1012: (x, y) = ( -9.84377, -1.76076 )
1013: (x, y) = ( -4.48074, 8.93997 )
1014: (x, y) = ( 2.9211, 9.56385 )
1015: (x, y) = ( -0.30975, 9.9952 )
1016: (x, y) = ( 6.92874, 7.21059 )
1017: (x, y) = ( 9.55074, 2.96369 )
1018: (x, y) = ( 0.132466, 9.99912 )
1019: (x, y) = ( 8.83863, 4.67745 )
1020: (x, y) = ( -9.1473, -4.04065 )
1021: (x, y) = ( 3.00593, -9.53753 )
1022: (x, y) = ( 5.32859, -8.46204 )
1023: (x, y) = ( 1.4547, 9.89363 )
1024: (x, y) = ( -7.76667, -6.29911 )
1025: (x, y) = ( -6.53644, -7.56802 )
1026: (x, y) = ( -8.24348, 5.66083 )
1027: (x, y) = ( -7.93136, 6.09044 )
1028: (x, y) = ( -9.84377, -1.76076 )
1029: (x, y) = ( -1.8043, 9.83588 )
1030: (x, y) = ( -9.85902, 1.67326 )
1031: (x, y) = ( 5.76978, 8.1676 )
1032: (x, y) = ( 8.5322, -5.21551 )
1033: (x, y) = ( -8.39072, -5.44021 )
1034: (x, y) = ( -0.220966, -9.99756 )
1035: (x, y) = ( 9.62598, 2.70935 )
1036: (x, y) = ( -0.132767, 9.99912 )
1037: (x, y) = ( -9.49687, 3.132 )
1038: (x, y) = ( -2.66672, 9.63787 )
1039: (x, y) = ( 6.53621, 7.56822 )
1040: (x, y) = ( -8.57803, 5.13978 )
1041: (x, y) = ( -9.85902, 1.67326 )
1042: (x, y) = ( 8.66752, 4.98739 )
1043: (x, y) = ( 9.349, -3.5491 )
1044: (x, y) = ( -9.99961, -0.0885131 )
1045: (x, y) = ( 5.91345, 8.06418 )
1046: (x, y) = ( 4.55969, -8.89996 )
1047: (x, y) = ( -0.486636, 9.98815 )
1048: (x, y) = ( 4.55969, -8.89996 )
1049: (x, y) = ( 9.21751, -3.87782 )
1050: (x, y) = ( -5.10203, 8.60054 )
1051: (x, y) = ( 9.92332, 1.23603 )
1052: (x, y) = ( -5.40277, -8.41487 )
1053: (x, y) = ( 7.24118, -6.89676 )
1054: (x, y) = ( 9.52422, -3.04782 )
1055: (x, y) = ( -8.0901, -5.87795 )
1056: (x, y) = ( 6.19521, 7.8498 )
1057: (x, y) = ( 9.31711, 3.63199 )
1058: (x, y) = ( 9.99648, -0.26521 )
1059: (x, y) = ( -3.09023, 9.51055 )
1060: (x, y) = ( 7.0553, 7.0868 )
1061: (x, y) = ( -4.94898, 8.68951 )
1062: (x, y) = ( -7.65395, -6.43561 )
1063: (x, y) = ( 9.71585, 2.36691 )
1064: (x, y) = ( 8.87983, -4.59877 )
1065: (x, y) = ( -3.67291, -9.30106 )
1066: (x, y) = ( 9.41037, -3.38305 )
1067: (x, y) = ( -5.10203, 8.60054 )
1068: (x, y) = ( 1.10417, -9.93885 )
1069: (x, y) = ( -9.03692, -4.28183 )
1070: (x, y) = ( 3.34165, -9.42514 )
1071: (x, y) = ( -5.40328, 8.41455 )
1072: (x, y) = ( 9.62598, 2.70935 )
1073: (x, y) = ( 0.044257, -9.9999 )
1074: (x, y) = ( -7.48058, -6.63634 )
1075: (x, y) = ( 4.63802, 8.85939 )
1076: (x, y) = ( -9.84377, -1.76076 )
1077: (x, y) = ( -8.0901, -5.87795 )
1078: (x, y) = ( -9.07459, 4.2014 )
1079: (x, y) = ( -6.05552, 7.95806 )
1080: (x, y) = ( 5.10177, 8.60069 )
1081: (x, y) = ( 8.14181, 5.80611 )
1082: (x, y) = ( -2.75163, -9.61397 )
1083: (x, y) = ( -9.55083, 2.9634 )
1084: (x, y) = ( 9.89997, -1.4109 )
1085: (x, y) = ( -9.38005, 3.46621 )
1086: (x, y) = ( 0.398209, -9.99207 )
1087: (x, y) = ( -0.0439555, -9.9999 )
1088: (x, y) = ( 2.66643, 9.63795 )
1089: (x, y) = ( -9.62606, 2.70906 )
1090: (x, y) = ( -4.40116, -8.97941 )
1091: (x, y) = ( 9.69459, -2.45252 )
1092: (x, y) = ( -8.66767, 4.98713 )
1093: (x, y) = ( -7.24097, -6.89698 )
1094: (x, y) = ( 2.2377, -9.74642 )
1095: (x, y) = ( 6.92874, 7.21059 )
1096: (x, y) = ( -9.82785, 1.84752 )
1097: (x, y) = ( -6.33343, 7.73872 )
1098: (x, y) = ( 2.83662, -9.58924 )
1099: (x, y) = ( -9.03692, -4.28183 )
1100: (x, y) = ( 9.03705, -4.28155 )
1101: (x, y) = ( -8.0901, -5.87795 )
1102: (x, y) = ( -9.69452, -2.45281 )
1103: (x, y) = ( -3.42495, 9.3952 )
1104: (x, y) = ( 9.91203, -1.32352 )
1105: (x, y) = ( -3.91885, 9.20014 )
1106: (x, y) = ( 4.08082, 9.12945 )
1107: (x, y) = ( -9.99021, -0.442427 )
1108: (x, y) = ( -9.64958, -2.62404 )
1109: (x, y) = ( -4.16147, 9.09297 )
1110: (x, y) = ( -9.97496, 0.707222 )
1111: (x, y) = ( -8.4857, 5.29083 )
1112: (x, y) = ( -8.66767, 4.98713 )
1113: (x, y) = ( -6.05552, 7.95806 )
1114: (x, y) = ( -9.98592, 0.530535 )
1115: (x, y) = ( 9.89988, 1.4115 )
1116: (x, y) = ( -9.99961, -0.0885131 )
1117: (x, y) = ( 0.132466, 9.99912 )
